Year,Week,Away Team,Home Team,Line,Over/Under,ATOR,ATDR,HTOR,HTDR,Score,Neutral
2010,2,AUB,MISS ST,1,,1.33,0.90,1.36,0.66,17-14,
2010,2,WVU,MARSH,12,,0.92,0.57,0.44,1.26,24-21,
2010,2,PSU,ALA,-12.5,,1.11,1.03,1.28,0.69,3-24,
2010,2,MIAFL,OSU,-8,,1.19,0.53,1.26,0.44,24-36,
2010,2,WYO,TEX,-27.5,,0.94,0.91,1.01,0.77,7-34,
2010,2,IDA,NEB,-27.5,,1.13,0.44,1.34,0.81,17-38,
2010,2,ORE,TENN,11,,1.23,0.26,1.06,0.45,48-13,
2010,2,USF,UF,-16,,1.17,0.65,0.80,0.40,14-38,
2010,2,ISU,IOWA,-13.5,,0.89,0.64,1.12,0.81,7-35,
2010,2,FSU,OKLA,-7,,1.36,0.72,0.88,0.68,17-47,
2010,2,SJSU,WISC,-39.5,,0.69,1.28,1.10,0.73,14-27,
2010,2,GT,KAN,13.5,,1.18,0.74,0.58,0.64,25-28,
2010,2,UVA,USC,-20,,1.16,0.77,1.35,1.04,14-17,
2010,2,LSU,VANDY,10,,0.72,0.75,0.97,1.01,27-3,
2010,2,UNLV,UTAH,-21,,0.73,1.10,0.87,0.79,10-38,
2010,2,UGA,SC,-3,,1.09,0.39,1.14,0.77,6-17,
2010,2,STAN,UCLA,6,,1.32,0.68,0.68,0.98,35-0,
2010,2,MEM,ECU,-14,,0.66,1.36,1.11,1.09,27-49,
2010,2,DUKE,WAKE,-5.5,,1.18,0.83,1.12,0.78,48-54,
2010,2,HAW,ARMY,-3,,1.04,1.35,1.13,0.93,31-28,
2010,2,MSU,FAU,26,,1.17,0.67,1.02,1.06,30-17,1
2010,2,EMU,MIAOH,-14,,0.98,1.13,0.40,0.80,21-28,
2010,2,ARK ST,ULL,-2,,0.90,1.33,0.39,1.09,24-31,
2010,2,MICH,ND,-3.5,,1.11,0.76,0.95,0.79,28-24,
2010,2,KENT,BC,-17.5,,0.92,0.60,0.97,0.74,13-26,
2010,2,COL,CAL,-10,,1.00,0.57,1.27,0.45,7-52,
2010,2,BYU,AFA,-2,,0.95,0.92,1.47,0.85,14-35,
2010,2,BUFF,BAY,-14.5,,0.90,0.50,0.91,0.61,6-34,
2010,2,RICE,NT,-3,,0.77,1.01,0.77,1.27,32-31,
2010,2,SYR,WASH,-13.5,,0.93,0.59,0.92,0.95,20-41,
2010,2,CMU,TEMP,-7,,1.02,0.46,0.88,0.90,10-13,
2010,2,TOLEDO,OHIO,-9.5,,0.58,1.28,0.89,0.75,20-13,
2010,2,TROY,OKLA ST,-13.5,,0.93,0.70,1.32,0.75,38-41,
2010,2,NCSU,UCF,-3,,1.21,0.76,1.30,0.84,28-21,
2010,2,WKU,UK,-24.5,,0.81,1.34,1.14,0.67,28-63,
2010,2,TTU,NM,25,,0.97,0.67,0.26,1.23,52-17,
2010,2,UAB,SMU,-11.5,,1.06,1.02,0.67,0.97,7-28,
2010,2,CSU,NEV,-23.5,,0.57,1.00,1.23,0.86,6-51,
2010,3,CIN,NCSU,-2,,0.89,0.88,1.02,0.65,19-30,
2010,3,KAN,USM,-5.5,,0.78,0.82,0.94,0.85,16-31,
2010,3,CAL,NEV,-2.5,,1.22,0.46,1.27,0.78,31-52,
2010,3,CLEM,AUB,-7,,1.31,0.75,1.09,0.79,24-27,
2010,3,ALA,DUKE,23.5,,1.20,0.60,1.07,1.00,62-13,
2010,3,OHIO,OSU,-29.5,,0.71,0.80,1.08,0.53,7-43,
2010,3,BOISE,WYO,23.5,,0.94,0.96,0.87,1.00,51-6,
2010,3,BAY,TCU,-21,,0.92,0.56,1.19,0.64,10-45,
2010,3,TEX,TTU,3.5,,1.06,0.79,1.03,0.70,24-14,
2010,3,AFA,OKLA,-16.5,,1.30,0.79,1.00,0.66,24-27,
2010,3,NEB,WASH,-3,,1.13,0.63,1.03,0.84,56-21,
2010,3,IOWA,ARZ,-1.5,,1.15,0.66,1.27,0.57,27-34,
2010,3,UF,TENN,13.5,,0.98,0.48,0.93,0.77,31-17,
2010,3,ASU,WISC,-12,,1.14,0.65,1.05,0.80,19-20,
2010,3,ARK,UGA,-2,,1.01,0.68,0.96,0.70,31-24,
2010,3,UTAH,NM,22.5,,1.01,0.75,0.52,1.17,56-14,
2010,3,MISS ST,LSU,-7,,1.01,0.77,0.85,0.68,7-29,
2010,3,USC,MINN,11.5,,1.10,0.93,1.08,1.04,32-31,
2010,3,WAKE,STAN,-17.5,,1.13,0.86,1.13,0.60,24-68,
2010,3,MARY,WVU,-10,,1.11,0.70,0.89,0.79,17-31,
2010,3,KENT,PSU,-21,,0.66,0.70,0.81,1.06,0-24,
2010,3,HOU,UCLA,3.5,,1.37,0.78,0.60,0.98,13-31,
2010,3,LOU,ORG ST,-20,,0.77,0.87,0.92,1.03,28-35,
