"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"1","AUB","MISS ST",1,1.33,0.9,1.36,0.66,17,14,-27,"MISS ST","AUB","Win"
"2","WVU","MARSH",12,0.92,0.57,0.44,1.26,24,21,117,"WVU","MARSH","Lose"
"3","PSU","ALA",-12.5,1.11,1.03,1.28,0.69,3,24,-51,"ALA","ALA","Win"
"4","MIAFL","OSU",-8,1.19,0.53,1.26,0.44,24,36,-16,"OSU","OSU","Win"
"5","WYO","TEX",-27.5,0.94,0.91,1.01,0.77,7,34,-21,"WYO","WYO","Lose"
"6","IDA","NEB",-27.5,1.13,0.44,1.34,0.81,17,38,16,"IDA","IDA","Lose"
"7","ORE","TENN",11,1.23,0.26,1.06,0.45,48,13,36,"ORE","ORE","Lose"
"8","USF","UF",-16,1.17,0.65,0.8,0.4,14,38,12,"USF","UF","Lose"
"9","ISU","IOWA",-13.5,0.89,0.64,1.12,0.81,7,35,-6.00000000000001,"ISU","IOWA","Lose"
"10","FSU","OKLA",-7,1.36,0.72,0.88,0.68,17,47,44,"FSU","OKLA","Lose"
"11","SJSU","WISC",-39.5,0.69,1.28,1.1,0.73,14,27,-96,"WISC","SJSU","Win"
"12","GT","KAN",13.5,1.18,0.74,0.58,0.64,25,28,50,"GT","KAN","Lose"
"13","UVA","USC",-20,1.16,0.77,1.35,1.04,14,17,7.99999999999998,"UVA","UVA","Lose"
"14","LSU","VANDY",10,0.72,0.75,0.97,1.01,27,3,1,"VANDY","LSU","Win"
"15","UNLV","UTAH",-21,0.73,1.1,0.87,0.79,10,38,-45,"UTAH","UTAH","Win"
"16","UGA","SC",-3,1.09,0.39,1.14,0.77,6,17,33,"UGA","SC","Lose"
"17","STAN","UCLA",6,1.32,0.68,0.68,0.98,35,0,94,"STAN","STAN","Lose"
"18","MEM","ECU",-14,0.66,1.36,1.11,1.09,27,49,-72,"ECU","ECU","Win"
"19","DUKE","WAKE",-5.5,1.18,0.83,1.12,0.78,48,54,0.99999999999999,"DUKE","WAKE","Lose"
"20","HAW","ARMY",-3,1.04,1.35,1.13,0.93,31,28,-51,"ARMY","HAW","Win"
"21","MSU","FAU",26,1.17,0.67,1.02,1.06,30,17,54,"MSU","FAU","Lose"
"22","EMU","MIAOH",-14,0.98,1.13,0.4,0.8,21,28,25,"EMU","EMU","Lose"
"23","ARK ST","ULL",-2,0.9,1.33,0.39,1.09,24,31,27,"ARK ST","ULL","Lose"
"24","MICH","ND",-3.5,1.11,0.76,0.95,0.79,28,24,19,"MICH","MICH","Lose"
"25","KENT","BC",-17.5,0.92,0.6,0.97,0.74,13,26,9.00000000000001,"KENT","KENT","Lose"
"26","COL","CAL",-10,1,0.57,1.27,0.45,7,52,-39,"CAL","CAL","Win"
"27","BYU","AFA",-2,0.95,0.92,1.47,0.85,14,35,-59,"AFA","AFA","Win"
"28","BUFF","BAY",-14.5,0.9,0.5,0.91,0.61,6,34,10,"BUFF","BAY","Lose"
"29","RICE","NT",-3,0.77,1.01,0.77,1.27,32,31,26,"RICE","RICE","Lose"
"30","SYR","WASH",-13.5,0.93,0.59,0.92,0.95,20,41,37,"SYR","WASH","Lose"
"31","CMU","TEMP",-7,1.02,0.46,0.88,0.9,10,13,58,"CMU","CMU","Lose"
"32","TOLEDO","OHIO",-9.5,0.58,1.28,0.89,0.75,20,13,-84,"OHIO","TOLEDO","Win"
"33","TROY","OKLA ST",-13.5,0.93,0.7,1.32,0.75,38,41,-34,"OKLA ST","TROY","Win"
"34","NCSU","UCF",-3,1.21,0.76,1.3,0.84,28,21,-1.00000000000001,"NCSU","NCSU","Lose"
"35","WKU","UK",-24.5,0.81,1.34,1.14,0.67,28,63,-100,"UK","UK","Win"
"36","TTU","NM",25,0.97,0.67,0.26,1.23,52,17,127,"TTU","TTU","Lose"
"37","UAB","SMU",-11.5,1.06,1.02,0.67,0.97,7,28,34,"UAB","SMU","Lose"
"38","CSU","NEV",-23.5,0.57,1,1.23,0.86,6,51,-80,"NEV","NEV","Win"
"39","CIN","NCSU",-2,0.89,0.88,1.02,0.65,19,30,-36,"NCSU","NCSU","Win"
"40","KAN","USM",-5.5,0.78,0.82,0.94,0.85,16,31,-13,"USM","USM","Win"
"41","CAL","NEV",-2.5,1.22,0.46,1.27,0.78,31,52,27,"CAL","NEV","Lose"
"42","CLEM","AUB",-7,1.31,0.75,1.09,0.79,24,27,26,"CLEM","CLEM","Lose"
"43","ALA","DUKE",23.5,1.2,0.6,1.07,1,62,13,53,"ALA","ALA","Lose"
"44","OHIO","OSU",-29.5,0.71,0.8,1.08,0.53,7,43,-64,"OSU","OSU","Win"
"45","BOISE","WYO",23.5,0.94,0.96,0.87,1,51,6,11,"WYO","BOISE","Win"
"46","BAY","TCU",-21,0.92,0.56,1.19,0.64,10,45,-19,"BAY","TCU","Lose"
"47","TEX","TTU",3.5,1.06,0.79,1.03,0.7,24,14,-6.00000000000001,"TTU","TEX","Win"
"48","AFA","OKLA",-16.5,1.3,0.79,1,0.66,24,27,17,"AFA","AFA","Lose"
"49","NEB","WASH",-3,1.13,0.63,1.03,0.84,56,21,31,"NEB","NEB","Lose"
"50","IOWA","ARZ",-1.5,1.15,0.66,1.27,0.57,27,34,-21,"ARZ","ARZ","Win"
"51","UF","TENN",13.5,0.98,0.48,0.93,0.77,31,17,34,"UF","UF","Lose"
"52","ASU","WISC",-12,1.14,0.65,1.05,0.8,19,20,24,"ASU","ASU","Lose"
"53","ARK","UGA",-2,1.01,0.68,0.96,0.7,31,24,6.99999999999999,"ARK","ARK","Lose"
"54","UTAH","NM",22.5,1.01,0.75,0.52,1.17,56,14,91,"UTAH","UTAH","Lose"
"55","MISS ST","LSU",-7,1.01,0.77,0.85,0.68,7,29,7.00000000000001,"MISS ST","LSU","Lose"
"56","USC","MINN",11.5,1.1,0.93,1.08,1.04,32,31,13,"USC","MINN","Lose"
"57","WAKE","STAN",-17.5,1.13,0.86,1.13,0.6,24,68,-26,"STAN","STAN","Win"
"58","MARY","WVU",-10,1.11,0.7,0.89,0.79,17,31,31,"MARY","WVU","Lose"
"59","KENT","PSU",-21,0.66,0.7,0.81,1.06,0,24,21,"KENT","PSU","Lose"
"60","HOU","UCLA",3.5,1.37,0.78,0.6,0.98,13,31,97,"HOU","UCLA","Lose"
"61","LOU","ORG ST",-20,0.77,0.87,0.92,1.03,28,35,1,"LOU","LOU","Lose"
"62","GT","UNC",-3,1.07,0.86,0.75,0.72,30,24,18,"GT","GT","Lose"
"63","CONN","TEMP",6,1.05,0.81,0.82,0.8,16,30,22,"CONN","TEMP","Lose"
"64","NT","ARMY",-5.5,0.81,0.99,1.08,0.96,0,24,-30,"ARMY","ARMY","Win"
"65","NIU","ILL",-7,0.85,0.81,0.79,0.72,22,28,-3.00000000000001,"NIU","NIU","Lose"
"66","ISU","KAN ST",-3.5,0.73,0.92,1.17,0.79,20,27,-57,"KAN ST","KAN ST","Win"
"67","BALL","PUR",-16.5,0.87,0.81,0.89,0.92,13,24,9,"BALL","BALL","Lose"
"68","VANDY","MISS",-11.5,0.81,0.98,1.06,0.94,28,14,-29,"MISS","VANDY","Win"
"69","ECU","VT",-20.5,1.14,0.98,0.89,1,27,49,27,"ECU","VT","Lose"
"70","CSU","MIAOH",-7.5,0.64,1.18,0.71,0.8,10,31,-45,"MIAOH","MIAOH","Win"
"71","WSU","SMU",-23,0.75,1.06,0.86,0.85,21,35,-32,"SMU","WSU","Win"
